title,genre,year,rating,votes,director,duration_min,country,box_office_million
Doctor Strange: Multiverse of Madness,Animation,2019,6.3,4188526,Steven Spielberg,115,Germany,2282.05
The Revenant,Horror,1988,5.4,2253486,Ryan Coogler,177,UK,2507.61
Logan,Romance,2019,4.5,1048507,Sam Raimi,89,Germany,1370.6
Gladiator,Animation,1988,5.4,4339557,Tim Burton,84,UK,2714.23
Eternals,Romance,1990,6.1,1211673,Patty Jenkins,163,India,2171.59
The Batman,Comedy,2021,7.3,4487675,Robert Zemeckis,84,South Korea,984.17
The Batman,Adventure,2018,9,2459964,Patty Jenkins,202,UK,2508.58
Memento,Horror,1997,6.9,2613921,Steven Spielberg,179,UK,1200.44
The Incredibles,Sci-Fi,2006,8.4,1891313,Sam Raimi,85,UK,146.66
Inception,Sci-Fi,2004,9.4,2511206,Ridley Scott,139,India,2742.29
X-Men: Days of Future Past,Sci-Fi,2007,6.2,4421156,Christopher Nolan,160,USA,713.5
The Conjuring,Horror,2006,7.9,4451464,Ryan Coogler,126,UK,2693.92
The Incredibles,Drama,1985,6.8,1981685,Christopher Nolan,162,South Korea,909.28
Ratatouille,Adventure,1993,6.4,2359329,Patty Jenkins,175,India,760.77
The Suicide Squad,Thriller,1994,4.8,183513,Christopher Nolan,209,Germany,365.96
Inside Out,Sci-Fi,2016,8.1,439467,Zack Snyder,182,Germany,2078.74
Pulp Fiction,Drama,2017,8.9,2751198,Peter Jackson,92,Spain,1247.25
Blade Runner 2049,Drama,2001,5.7,290331,Quentin Tarantino,185,India,1024.19
Moana,Drama,2016,5.2,3438429,James Cameron,188,Spain,2502.46
Forrest Gump,Romance,2000,7.2,2566568,Greta Gerwig,200,USA,2545.68
Luca,Adventure,1996,6,3620255,Steven Spielberg,202,India,2142.31
It,Sci-Fi,1980,8.2,4759008,Greta Gerwig,129,UK,1687.01
Doctor Strange: Multiverse of Madness,Sci-Fi,1986,4.9,4271672,Patty Jenkins,120,South Korea,280.37
The Dark Knight,Sci-Fi,1998,5.8,1230603,Tim Burton,116,Spain,122.02
The Flash,Thriller,2019,7.4,2426823,Quentin Tarantino,152,India,2593.66
Whiplash,Action,1997,9,4854797,Steven Spielberg,191,France,1765.61
Iron Man,Fantasy,2000,8.3,644195,Zack Snyder,88,UK,547.88
Pulp Fiction,Drama,1981,7.5,3688789,James Cameron,113,India,2530.34
Get Out,Thriller,2004,8.7,265960,Ridley Scott,128,USA,1266.11
Tenet,Horror,2004,7.9,1633306,Sam Raimi,127,Germany,286.85
Forrest Gump,Romance,2000,4.7,850582,Robert Zemeckis,196,USA,1943.8
Twilight,Drama,1980,8.2,2110142,Peter Jackson,158,France,1953.49
Aquaman,Fantasy,1981,8.5,3864305,Denis Villeneuve,88,UK,71.21
Schindler's List,Action,1991,6.3,906451,Greta Gerwig,172,Japan,2422.3
Kung Fu Panda,Sci-Fi,2008,5.9,4466477,Zack Snyder,188,India,796.45
Encanto,Horror,1980,4.6,1188670,Robert Zemeckis,157,India,604.11
Encanto,Adventure,1988,6.9,4960311,Ryan Coogler,98,USA,1569.53
Mad Max: Fury Road,Animation,1998,7.5,2096075,Steven Spielberg,191,Japan,686.47
Joker,Thriller,1986,5.1,769057,Ryan Coogler,157,France,727.56
Moana,Adventure,2017,8.4,3685225,Robert Zemeckis,193,Japan,1185.7
Brave,Action,2013,8.1,4881054,Zack Snyder,110,UK,172.3
Finding Nemo,Horror,1984,9,3465568,James Cameron,125,Germany,1425.1
La La Land,Action,2019,7.3,4361529,Steven Spielberg,185,South Korea,571.78
Blue Beetle,Fantasy,2014,8.5,934375,Ryan Coogler,191,UK,2308.8
Us,Horror,2007,4.9,1479855,Ridley Scott,181,UK,1645.71
The Ring,Action,1988,7.3,4457461,Tim Burton,129,South Korea,2013.46
Goodfellas,Adventure,1989,5.9,1031261,Greta Gerwig,178,Spain,1424.83
Shrek,Romance,1991,8.7,4980639,Ryan Coogler,206,India,1287.32
The Incredibles,Horror,2004,5.6,2811997,Greta Gerwig,123,South Korea,1808.35
Frozen,Animation,1999,5.1,2230561,Sam Raimi,134,Japan,1834.56
It,Sci-Fi,1993,6.3,1577528,Quentin Tarantino,116,Canada,310.92
Fight Club,Animation,2001,5.1,3797099,Ridley Scott,86,France,786.51
The Flash,Adventure,1992,9,1790885,James Cameron,87,Australia,2781.02
Us,Fantasy,2002,7.6,869470,Robert Zemeckis,84,India,2236.23
The Wolf of Wall Street,Romance,1982,5.1,3172188,Quentin Tarantino,142,Japan,383.05
Maze Runner,Horror,1982,7.3,1033450,Ridley Scott,193,UK,812.37
Deadpool,Adventure,2011,9.3,4802990,Ridley Scott,193,France,1900.92
Gladiator,Drama,2020,8.2,4274566,Martin Scorsese,103,Germany,1369.02
Up,Sci-Fi,1991,7.6,528002,Greta Gerwig,200,India,687.37
Ant-Man,Thriller,2018,6.8,2281942,Zack Snyder,209,Germany,1684.63
Superman,Thriller,2009,5.4,2048096,Denis Villeneuve,182,Germany,2689.39
Aquaman 2,Action,1986,4.9,1765642,Denis Villeneuve,173,Canada,900.12
Dune,Drama,2012,8,2923772,Martin Scorsese,187,Spain,1420.47
Ratatouille,Sci-Fi,1993,7.8,2581661,Tim Burton,203,Germany,2430.18
Shrek,Romance,2014,7.9,3931114,Patty Jenkins,83,South Korea,2754.98
Doctor Strange,Drama,2012,7,3321822,Zack Snyder,170,France,1297.38
Big Hero 6,Adventure,1987,7.2,1665955,Quentin Tarantino,97,India,2358.95
Spider-Man: No Way Home,Drama,2013,6,2552247,Greta Gerwig,188,Spain,2755.82
Mad Max: Fury Road,Action,2002,9.6,4700582,Greta Gerwig,121,Australia,301.1
Man of Steel,Romance,1997,5.2,2907350,Ridley Scott,185,Spain,574.64
Soul,Adventure,1990,6.9,1082653,Steven Spielberg,101,Germany,913.83
The Conjuring,Thriller,1983,4.6,2426803,Patty Jenkins,145,Canada,715.86
Ant-Man,Drama,2004,7.1,2928619,Quentin Tarantino,162,UK,1885.48
Brave,Action,1987,5.6,1729255,Sam Raimi,162,Germany,1717.27
Get Out,Drama,1999,9.6,1415661,Tim Burton,80,Canada,1357.86
Justice League,Comedy,1993,8.3,4933051,James Cameron,114,Canada,921.44
Divergent,Sci-Fi,2016,7.4,1413357,Christopher Nolan,171,Germany,2398.51
Big Hero 6,Fantasy,1994,8.7,2649892,Peter Jackson,203,South Korea,1684.33
Shutter Island,Fantasy,1997,7.7,2826457,Ryan Coogler,129,India,1805.19
The Suicide Squad,Animation,2000,9.2,1817382,Denis Villeneuve,123,UK,459.07
Get Out,Action,2016,8.1,1195314,Patty Jenkins,88,Canada,2732.48
Superman,Thriller,2002,5.8,1222218,Robert Zemeckis,95,South Korea,2197.98
Deadpool,Sci-Fi,1984,7.1,2460322,Tim Burton,206,USA,761.25
The Wolf of Wall Street,Fantasy,2006,4.9,2836582,Martin Scorsese,204,Germany,1303.37
Thor: Ragnarok,Horror,2012,7.4,1333216,James Cameron,145,USA,531.7
Man of Steel,Thriller,2022,9.5,2980049,Sam Raimi,110,India,1324.49
Saving Private Ryan,Romance,2007,6.7,494778,Sam Raimi,105,India,646.35
Dunkirk,Comedy,1985,9.7,4668815,Christopher Nolan,152,USA,1829.61
Justice League,Action,2000,5,1375614,Robert Zemeckis,137,France,1137.83
The Godfather,Sci-Fi,1980,4.9,4059639,Christopher Nolan,86,Spain,1750.82
Whiplash,Romance,2021,8.9,3524140,Ridley Scott,202,USA,506.52
X-Men: Days of Future Past,Sci-Fi,1980,7.1,2839653,Patty Jenkins,192,India,741.05
Dune,Comedy,1994,8.6,4297684,Zack Snyder,125,Australia,2068.57
Kung Fu Panda,Sci-Fi,2003,7.4,1142806,Martin Scorsese,85,Canada,2749.98
Aquaman,Animation,1996,7,2954151,Patty Jenkins,195,France,1527.29
Maze Runner,Horror,2006,7.1,3032096,Tim Burton,158,UK,1152.4
Guardians of the Galaxy,Romance,2010,7.2,4555901,Steven Spielberg,176,India,625.17
Blue Beetle,Thriller,2009,5.7,4349104,Robert Zemeckis,166,Australia,1496.06
The Dark Knight,Drama,2012,9,1370238,Tim Burton,167,Germany,2168.4
The Lion King,Thriller,1981,5.9,2784891,Ridley Scott,114,Japan,2753.73
Wonder Woman,Action,2011,9.1,3015345,Martin Scorsese,130,Canada,2329.26
The Godfather,Action,1990,9.2,3404836,James Cameron,137,Germany,2402.72
Goodfellas,Fantasy,2021,4.7,11150,Martin Scorsese,177,India,2445.91
Black Panther,Horror,1984,5.6,4657318,Christopher Nolan,95,USA,1170.79
Shang-Chi,Drama,2019,6.9,4992694,Patty Jenkins,112,France,2440.37
Goodfellas,Fantasy,2008,5.5,4167919,Peter Jackson,199,USA,325.7
Inception,Animation,1987,5.3,3956995,Robert Zemeckis,192,South Korea,172.46
It,Romance,1980,5.4,721386,Denis Villeneuve,163,Japan,2762.01
Frozen II,Thriller,1987,7.5,1503251,Ridley Scott,158,Japan,1853.32
Django Unchained,Romance,1981,9.5,1174912,Quentin Tarantino,130,Australia,1237.47
Saving Private Ryan,Action,1984,6.3,1560118,Quentin Tarantino,174,South Korea,2302.49
Schindler's List,Fantasy,2005,5.4,3758183,Ridley Scott,160,South Korea,2024.63
Coco,Animation,1982,8.8,4519956,Robert Zemeckis,110,Canada,1632.64
Captain America: Civil War,Fantasy,1982,7.2,3598109,Sam Raimi,99,USA,2535.4
Soul,Sci-Fi,1986,9.4,877635,Robert Zemeckis,182,Australia,119.01
Shrek,Comedy,1981,9.7,4649871,Quentin Tarantino,204,Japan,591.62
Avatar,Fantasy,1997,9.3,145462,Quentin Tarantino,129,Japan,840.17
It,Sci-Fi,2020,5.1,2239776,Ryan Coogler,101,France,1939.57
Django Unchained,Horror,1992,4.8,4792969,Tim Burton,160,Canada,711.88
Ant-Man,Comedy,1999,9.7,3773393,Peter Jackson,100,Japan,786.4
Tenet,Comedy,2013,5.8,1594756,Steven Spielberg,117,France,1735.28
Get Out,Fantasy,1987,8.8,4508328,Tim Burton,92,South Korea,490.75
Interstellar,Horror,1995,8.1,3857210,James Cameron,125,Australia,2133.77
The Prestige,Animation,1983,7.5,1551255,Sam Raimi,140,Japan,2033.81
Shang-Chi,Fantasy,2021,5.5,2210434,Robert Zemeckis,164,India,249.69
Titanic,Animation,2015,9,4821750,Martin Scorsese,94,India,1824.81
The Irishman,Comedy,2003,8.6,4974833,Zack Snyder,207,Germany,2589.37
Coco,Adventure,1982,7.5,1420976,Tim Burton,195,USA,1740.35
Big Hero 6,Drama,1994,5.2,1824594,Sam Raimi,165,Spain,1590.42
It,Animation,1990,8.5,2597759,Quentin Tarantino,98,India,1672.87
Big Hero 6,Horror,1987,6.1,1882003,James Cameron,90,Canada,2160.6
The Suicide Squad,Thriller,1988,8.3,1342316,Denis Villeneuve,151,France,1801.61
Parasite,Romance,2002,4.6,4165903,James Cameron,106,USA,2686.27
X-Men: Days of Future Past,Thriller,1985,9,4031322,Patty Jenkins,176,Spain,1583.62
Man of Steel,Romance,1996,8.1,1405864,Sam Raimi,87,Canada,2053.06
Interstellar,Horror,2001,8.5,3802398,Peter Jackson,128,UK,791.63
The Lion King,Sci-Fi,2010,5.2,4837091,Zack Snyder,168,Germany,2643.48
Black Panther,Sci-Fi,1990,7.9,4389225,Robert Zemeckis,150,India,2365.82
Superman,Comedy,2002,7,1928425,Zack Snyder,140,Japan,2306.94
The Matrix,Thriller,1988,7.2,2785974,Greta Gerwig,81,Australia,330.77
Shrek,Animation,1994,8.6,2141419,Denis Villeneuve,130,India,425.97
Joker,Adventure,2016,9,2413534,Martin Scorsese,88,South Korea,250.08
Eternals,Fantasy,2004,6,450889,Patty Jenkins,210,Canada,875.68
The Matrix,Drama,1985,8.9,3243750,James Cameron,98,India,1194.83
Schindler's List,Horror,1984,9.5,2287283,Zack Snyder,143,Australia,2242.91
Titanic,Thriller,1993,5.3,468360,Tim Burton,99,UK,96.75
Thor: Ragnarok,Thriller,2009,7.2,4722840,Ryan Coogler,112,UK,2154.64
Spider-Man: No Way Home,Thriller,2023,6,2736697,Tim Burton,151,Australia,1908.08
Avatar,Romance,2007,7.5,1796615,Patty Jenkins,198,UK,447.72
Luca,Comedy,1988,6.1,4569609,Greta Gerwig,161,France,2184.08
Parasite,Romance,1981,9,1601113,Ridley Scott,169,India,626.78
A Quiet Place,Adventure,2015,8.8,502141,Denis Villeneuve,109,Germany,1990.38
The Revenant,Fantasy,2011,6.9,1559474,Zack Snyder,105,USA,1671.41
Pulp Fiction,Horror,2022,9.6,3948682,Sam Raimi,109,Germany,1014.38
Thor: Love and Thunder,Thriller,2019,4.6,3364493,James Cameron,84,South Korea,2069.6
It Chapter Two,Action,2006,6,4457412,Quentin Tarantino,140,Australia,1134.63
Gladiator,Adventure,2001,6.7,1109610,Denis Villeneuve,116,Australia,2583.58
Aquaman,Romance,1997,6.7,3237145,Tim Burton,109,Canada,326.81
The Shawshank Redemption,Comedy,2007,5.3,3711814,Peter Jackson,145,Spain,2401.56
La La Land,Drama,2005,4.7,672431,Denis Villeneuve,160,USA,1271.63
Birdman,Action,2000,6.5,3256452,Peter Jackson,194,Spain,1375.5
Titanic,Adventure,1998,6.6,241895,Denis Villeneuve,132,USA,1289.19
Black Panther,Fantasy,2023,9.6,2255370,Greta Gerwig,132,Canada,16.51
Guardians of the Galaxy,Adventure,1988,7.8,2590607,Ryan Coogler,111,India,1924.82
Frozen,Romance,2010,7.5,2698556,Steven Spielberg,166,Spain,380.09
The Ring,Horror,1995,9.2,4821106,James Cameron,162,Canada,2327.46
Shang-Chi,Drama,1994,9.1,3666984,Martin Scorsese,93,UK,1206.35
Twilight,Sci-Fi,2011,8.1,922774,Ryan Coogler,141,Spain,2489.61
Oppenheimer,Romance,2014,6.4,4413043,Steven Spielberg,189,USA,588.55
Logan,Drama,1986,5.1,3268561,Denis Villeneuve,98,Germany,846.33
Aquaman,Sci-Fi,2007,8.6,4443357,Tim Burton,209,Germany,2382.89
Pulp Fiction,Fantasy,2015,5.8,2264539,Tim Burton,206,Canada,2408.12
Spider-Man: No Way Home,Drama,1988,5.5,3446330,Peter Jackson,201,Canada,344.56
Interstellar,Fantasy,2023,8.6,1958549,Quentin Tarantino,117,Canada,1069.8
Guardians of the Galaxy,Comedy,1991,9.1,4893760,Peter Jackson,168,France,929.27
The Incredibles,Drama,2023,7.1,4327387,Quentin Tarantino,178,Spain,600
Pulp Fiction,Action,2000,6.6,4861769,James Cameron,108,France,2221.52
Luca,Animation,2000,7.1,985393,Greta Gerwig,171,Australia,94.91
Ant-Man,Action,1996,8.3,1595262,Ryan Coogler,189,USA,986.87
Twilight,Thriller,1991,8.3,4767242,James Cameron,133,Japan,1321.82
Joker,Horror,2016,7,1490656,Tim Burton,97,Spain,2366.52
Twilight,Drama,2023,9.2,1556610,Sam Raimi,111,Japan,1664.47
Arrival,Horror,1990,5.4,4312685,Greta Gerwig,188,UK,548.7
The Dark Knight,Sci-Fi,2005,4.8,3045305,Ridley Scott,161,Spain,2189.57
Birdman,Horror,1982,5.3,917930,Quentin Tarantino,187,Germany,2249.6
Shang-Chi,Adventure,2019,6.1,2784136,Steven Spielberg,90,Canada,537.11
Moana,Action,1982,7.3,4350903,Zack Snyder,148,Spain,2243.58
Avengers: Endgame,Animation,1983,6.6,1515594,Martin Scorsese,145,India,790.46
Django Unchained,Adventure,2007,7.5,3711489,Ryan Coogler,97,USA,2186.61
Thor: Ragnarok,Romance,2007,5.2,1400019,Zack Snyder,153,Canada,1289.77
Schindler's List,Fantasy,2008,4.6,4570512,James Cameron,154,Australia,564.57
Saving Private Ryan,Animation,1995,7.3,515285,Greta Gerwig,148,France,2208.91
It Chapter Two,Horror,2003,9.5,2394755,Quentin Tarantino,200,South Korea,516.75
The Irishman,Comedy,2018,6.9,3049766,Tim Burton,198,Germany,928.89
A Quiet Place,Horror,1993,9,1934040,Zack Snyder,143,Canada,1205.86
A Quiet Place,Fantasy,1996,9.5,533306,Christopher Nolan,147,Spain,1001.73
Aquaman,Comedy,2013,5.8,1852253,Sam Raimi,120,USA,838.45
Finding Nemo,Romance,2018,8.3,4529186,Steven Spielberg,172,Canada,2431.89
"Monsters, Inc.",Drama,2019,7.2,3376315,Greta Gerwig,136,South Korea,2600.82
Tenet,Action,2020,6.3,1153313,Steven Spielberg,171,Japan,2042.6
The Social Network,Fantasy,1997,9.3,1388732,Ridley Scott,93,Spain,2191.47
Forrest Gump,Action,2000,7.9,948283,Robert Zemeckis,130,South Korea,2031.42
Soul,Comedy,2008,8,4737857,Ridley Scott,130,USA,1740.63
Inside Out,Adventure,1989,9,2805573,Quentin Tarantino,151,Australia,827.62
Venom,Romance,2009,4.7,2566842,Robert Zemeckis,127,UK,1820.32
Man of Steel,Adventure,2012,6.1,2123792,Peter Jackson,86,Germany,68.84
Blade Runner 2049,Action,2011,6.5,90805,James Cameron,85,France,1440.26
Barbie,Adventure,2011,5.5,4437174,Zack Snyder,96,Germany,1478.08
Superman,Thriller,1984,8.3,3492311,Peter Jackson,134,India,1152.38
The Wolf of Wall Street,Drama,1986,7.9,3566018,James Cameron,135,France,2190.38
The Godfather,Fantasy,1989,8.1,3580853,Greta Gerwig,200,Germany,755.77
The Irishman,Fantasy,2015,4.8,1908122,Sam Raimi,88,USA,702.17
Shutter Island,Thriller,2014,5,2214797,Quentin Tarantino,160,Spain,1157.35
The Hunger Games,Adventure,2022,6.2,2107850,Sam Raimi,175,India,1854.77
Dune,Romance,1999,8.7,1231012,Peter Jackson,118,South Korea,2764.71
Eternals,Comedy,1987,6.1,1730613,Denis Villeneuve,179,Germany,926.5
Coco,Sci-Fi,2000,8.2,1494351,Ryan Coogler,177,UK,2198.02
Shrek,Sci-Fi,2005,6.8,1230117,Robert Zemeckis,85,France,1757.92
Inside Out,Adventure,2004,5.9,2752212,Martin Scorsese,210,France,658.28
Ratatouille,Action,1989,6.7,249482,Denis Villeneuve,122,South Korea,367.65
Interstellar,Fantasy,2019,5.4,3002914,Ridley Scott,143,South Korea,2569.97
The Godfather,Romance,1984,6.9,4624527,Tim Burton,89,Japan,2205.2
Brave,Sci-Fi,2000,6.4,2063826,James Cameron,97,Australia,243.15
Blade Runner 2049,Thriller,1994,8.7,90739,Martin Scorsese,83,USA,755.6
Soul,Animation,1983,9.8,2881449,Steven Spielberg,94,France,237.46
Aquaman 2,Animation,1987,6.3,4592995,James Cameron,105,USA,2395.91
Finding Nemo,Comedy,1997,5.1,372440,Martin Scorsese,208,Canada,20.78
Ratatouille,Romance,2012,8.3,4655677,Ridley Scott,183,Canada,937.62
Forrest Gump,Sci-Fi,1995,4.7,4735075,Patty Jenkins,195,Germany,2679.7
Moana,Thriller,1983,8.8,4126975,Ridley Scott,83,Canada,54.98
Insidious,Adventure,2002,4.7,2533162,Patty Jenkins,89,France,1564.51
The Dark Knight,Horror,1982,5.7,3359158,Ridley Scott,134,Spain,1761.09
Black Panther,Action,2012,4.8,2926302,Greta Gerwig,130,USA,1366.69
The Suicide Squad,Romance,1990,9.6,3746854,Quentin Tarantino,143,UK,1011.41
Inception,Action,2012,9.6,4486999,Martin Scorsese,193,Spain,2224.53
Forrest Gump,Comedy,1994,8,1738063,Martin Scorsese,187,Spain,1898.81
Thor: Ragnarok,Comedy,2018,8,1686728,Denis Villeneuve,117,Canada,2730.58
Twilight,Fantasy,2002,7.7,1975138,Sam Raimi,127,Canada,512.38
The Exorcist,Drama,2010,8.4,2382312,Quentin Tarantino,101,Canada,605.86
Aquaman 2,Sci-Fi,1998,5.5,2106705,Zack Snyder,85,Australia,2545.93
Divergent,Fantasy,1994,6.6,3833307,Steven Spielberg,182,Spain,886.98
Tenet,Fantasy,1993,5.5,3021335,Zack Snyder,138,Germany,2110.65
Forrest Gump,Action,2020,6,3588367,Steven Spielberg,189,South Korea,919.54
Maze Runner,Adventure,1982,7,1757830,Quentin Tarantino,108,UK,2688.32
Soul,Adventure,2001,5.5,2141719,Peter Jackson,206,Australia,2711.05
Spider-Man: No Way Home,Drama,2008,5,3329305,Denis Villeneuve,195,UK,1627.22
Aquaman,Drama,2020,7.6,1012221,Robert Zemeckis,124,Germany,436.64
Twilight,Horror,1985,6.6,803211,Peter Jackson,135,UK,1362.42
Hereditary,Drama,2007,7.1,1936017,Ryan Coogler,91,Japan,2359.7
Saving Private Ryan,Romance,2021,8,4219451,Zack Snyder,122,India,47.06
Blue Beetle,Fantasy,1989,9.7,1448442,James Cameron,105,Canada,1167.58
Black Panther,Adventure,1988,9.5,2037246,Zack Snyder,178,USA,288.33
The Matrix,Action,1986,7.3,2778928,Martin Scorsese,175,South Korea,97.27
Fight Club,Comedy,2022,8,1397294,James Cameron,104,USA,2677.82
The Shawshank Redemption,Animation,1988,8.8,879589,Denis Villeneuve,135,South Korea,428.17
Up,Sci-Fi,1988,8.9,2403566,Ryan Coogler,175,France,1070.52
Forrest Gump,Romance,1996,8.3,1075144,Patty Jenkins,119,Spain,404.43
12 Years a Slave,Adventure,2006,4.6,4849541,Sam Raimi,175,Germany,2625.15
Divergent,Thriller,2009,5.8,4241280,Sam Raimi,173,Japan,1543.55
Shrek,Drama,1992,8.8,2182050,James Cameron,108,Australia,1518.76
A Quiet Place,Horror,1994,8.6,2464584,Sam Raimi,82,France,800.36
Get Out,Action,2015,5.6,648294,Zack Snyder,93,India,1907.44
Us,Drama,1980,8.9,3218621,Steven Spielberg,209,Germany,1229.54
Coco,Thriller,1986,4.6,4314620,Steven Spielberg,94,USA,225.61
Spider-Man: No Way Home,Action,1984,9.3,1788140,Sam Raimi,205,Spain,1348.01
Avengers: Endgame,Animation,2013,7.5,1418776,Denis Villeneuve,160,Japan,1552.33
The Incredibles,Drama,2022,7,1187705,Ryan Coogler,210,Germany,1574.95
The Hunger Games,Action,2002,7.8,223388,Tim Burton,167,Spain,2309.06
Blade Runner 2049,Adventure,2011,7,3228955,Steven Spielberg,131,India,2109.33
Finding Nemo,Thriller,2020,8.4,4047483,Christopher Nolan,190,Canada,2545.76
Zootopia,Drama,2003,9.1,2125341,Zack Snyder,152,Japan,890.82
The Matrix,Fantasy,1995,7.6,3961735,Steven Spielberg,108,Australia,351.12
Forrest Gump,Drama,1990,7.5,3477968,Zack Snyder,139,Japan,2666.74
Fight Club,Horror,1983,6.4,980039,Zack Snyder,127,Japan,1005.77
Shang-Chi,Adventure,2003,8.2,4997314,Peter Jackson,126,Australia,60.72
Thor: Love and Thunder,Animation,2009,9.7,1947691,Steven Spielberg,192,Japan,750.34
Oppenheimer,Horror,2010,7.6,4985879,Christopher Nolan,128,USA,2795.68
Catch Me If You Can,Romance,2011,6.6,3624325,Tim Burton,118,France,2689.79
The Matrix,Horror,1994,7.1,4158122,Peter Jackson,207,Australia,1130.03
Avatar,Action,2009,9.1,4284296,Ryan Coogler,86,Canada,983
La La Land,Comedy,2020,7.1,3634440,Sam Raimi,163,Spain,2038.22
Parasite,Romance,2014,5.7,2149595,Christopher Nolan,207,France,2134.76
The Irishman,Horror,1980,6.3,2603425,Peter Jackson,88,USA,1073.89
The Hunger Games,Sci-Fi,2019,6.1,448627,Patty Jenkins,170,India,996.28
Superman,Adventure,2008,9.3,1814009,Zack Snyder,152,USA,1080.62
12 Years a Slave,Animation,1991,8.9,2248832,Peter Jackson,177,South Korea,977.03
Arrival,Action,2021,5.8,1520933,Steven Spielberg,151,South Korea,1015.32
Toy Story,Adventure,2016,7.6,2235980,Christopher Nolan,164,Japan,290.27
The Irishman,Action,1980,5.1,151569,Sam Raimi,133,Australia,1549.49
Joker,Animation,2011,5.6,142871,Zack Snyder,86,Canada,468.97
The Flash,Drama,2022,9.5,1022045,Steven Spielberg,137,France,858.86
X-Men: Days of Future Past,Action,2020,8.9,4153104,Martin Scorsese,89,USA,2002.53
The Lion King,Thriller,2020,9.7,1939800,Zack Snyder,210,UK,1576.41
Us,Sci-Fi,1980,7.1,3602292,Patty Jenkins,141,France,1272.2
Joker,Drama,2021,7.8,1656530,Sam Raimi,81,UK,2296.97
Aquaman,Sci-Fi,1986,9.3,881523,Ryan Coogler,93,UK,1685.76
Inside Out,Thriller,2011,6.4,3993034,Zack Snyder,131,USA,1429.01
The Social Network,Animation,2013,6.4,1174569,Tim Burton,117,UK,1416.07
Toy Story,Thriller,2016,9.1,1376246,Christopher Nolan,139,France,473.36
Saving Private Ryan,Thriller,1995,9.3,4374253,Ryan Coogler,188,South Korea,2420.91
